id,title,url,time
19137620283415,⭐【Alpha灵感】股票收益是球队还是硬币？,https://support.worldquantbrain.com/hc/en-us/community/posts/19137620283415--Alpha%E7%81%B5%E6%84%9F-%E8%82%A1%E7%A5%A8%E6%94%B6%E7%9B%8A%E6%98%AF%E7%90%83%E9%98%9F%E8%BF%98%E6%98%AF%E7%A1%AC%E5%B8%81,
34392636397079,【论坛行为提示】请不要使用AI完全创作进行水贴,https://support.worldquantbrain.com/hc/en-us/community/posts/34392636397079--%E8%AE%BA%E5%9D%9B%E8%A1%8C%E4%B8%BA%E6%8F%90%E7%A4%BA-%E8%AF%B7%E4%B8%8D%E8%A6%81%E4%BD%BF%E7%94%A8AI%E5%AE%8C%E5%85%A8%E5%88%9B%E4%BD%9C%E8%BF%9B%E8%A1%8C%E6%B0%B4%E8%B4%B4,
32600981239319,【顾问签约进度公示】顾问申请和背调审核排序规则与当周审核名单（周度更新20251104）,https://support.worldquantbrain.com/hc/en-us/community/posts/32600981239319--%E9%A1%BE%E9%97%AE%E7%AD%BE%E7%BA%A6%E8%BF%9B%E5%BA%A6%E5%85%AC%E7%A4%BA-%E9%A1%BE%E9%97%AE%E7%94%B3%E8%AF%B7%E5%92%8C%E8%83%8C%E8%B0%83%E5%AE%A1%E6%A0%B8%E6%8E%92%E5%BA%8F%E8%A7%84%E5%88%99%E4%B8%8E%E5%BD%93%E5%91%A8%E5%AE%A1%E6%A0%B8%E5%90%8D%E5%8D%95-%E5%91%A8%E5%BA%A6%E6%9B%B4%E6%96%B020251104,
32226888249239,【新人指南】到底要交什么样的Alpha？,https://support.worldquantbrain.com/hc/en-us/community/posts/32226888249239--%E6%96%B0%E4%BA%BA%E6%8C%87%E5%8D%97-%E5%88%B0%E5%BA%95%E8%A6%81%E4%BA%A4%E4%BB%80%E4%B9%88%E6%A0%B7%E7%9A%84Alpha,
31134702342167,香港地区的同学如何登陆？,https://support.worldquantbrain.com/hc/en-us/community/posts/31134702342167-%E9%A6%99%E6%B8%AF%E5%9C%B0%E5%8C%BA%E7%9A%84%E5%90%8C%E5%AD%A6%E5%A6%82%E4%BD%95%E7%99%BB%E9%99%86,
31709091332759,2025年第三期《零基础学量化》系列课程Course 4作业:历史存档,https://support.worldquantbrain.com/hc/en-us/community/posts/31709091332759-2025%E5%B9%B4%E7%AC%AC%E4%B8%89%E6%9C%9F-%E9%9B%B6%E5%9F%BA%E7%A1%80%E5%AD%A6%E9%87%8F%E5%8C%96-%E7%B3%BB%E5%88%97%E8%AF%BE%E7%A8%8BCourse-4%E4%BD%9C%E4%B8%9A-%E5%8E%86%E5%8F%B2%E5%AD%98%E6%A1%A3,
31630890241815,2025年第三期《零基础学量化》系列课程Course 3作业:历史存档,https://support.worldquantbrain.com/hc/en-us/community/posts/31630890241815-2025%E5%B9%B4%E7%AC%AC%E4%B8%89%E6%9C%9F-%E9%9B%B6%E5%9F%BA%E7%A1%80%E5%AD%A6%E9%87%8F%E5%8C%96-%E7%B3%BB%E5%88%97%E8%AF%BE%E7%A8%8BCourse-3%E4%BD%9C%E4%B8%9A-%E5%8E%86%E5%8F%B2%E5%AD%98%E6%A1%A3,
31553026311831,2025年第三期《零基础学量化》系列课程Course 2作业:历史存档,https://support.worldquantbrain.com/hc/en-us/community/posts/31553026311831-2025%E5%B9%B4%E7%AC%AC%E4%B8%89%E6%9C%9F-%E9%9B%B6%E5%9F%BA%E7%A1%80%E5%AD%A6%E9%87%8F%E5%8C%96-%E7%B3%BB%E5%88%97%E8%AF%BE%E7%A8%8BCourse-2%E4%BD%9C%E4%B8%9A-%E5%8E%86%E5%8F%B2%E5%AD%98%E6%A1%A3,
31482217692567,2025年第三期《零基础学量化》系列课程Course 1作业:历史存档,https://support.worldquantbrain.com/hc/en-us/community/posts/31482217692567-2025%E5%B9%B4%E7%AC%AC%E4%B8%89%E6%9C%9F-%E9%9B%B6%E5%9F%BA%E7%A1%80%E5%AD%A6%E9%87%8F%E5%8C%96-%E7%B3%BB%E5%88%97%E8%AF%BE%E7%A8%8BCourse-1%E4%BD%9C%E4%B8%9A-%E5%8E%86%E5%8F%B2%E5%AD%98%E6%A1%A3,
28643095649943,【新人科普】一文助你成为BRAIN兼职研究顾问？,https://support.worldquantbrain.com/hc/en-us/community/posts/28643095649943--%E6%96%B0%E4%BA%BA%E7%A7%91%E6%99%AE-%E4%B8%80%E6%96%87%E5%8A%A9%E4%BD%A0%E6%88%90%E4%B8%BABRAIN%E5%85%BC%E8%81%8C%E7%A0%94%E7%A9%B6%E9%A1%BE%E9%97%AE,
